,id,source
720,42081655,inat
721,42006617,inat
722,42001932,inat
723,41940517,inat
724,41836751,inat
725,41836521,inat
726,41834101,inat
727,41768757,inat
728,41761972,inat
729,41717543,inat
730,41706128,inat
731,41437393,inat
732,41427164,inat
733,41354257,inat
734,41226761,inat
735,41223988,inat
736,41163951,inat
737,41114319,inat
738,41096981,inat
739,41074933,inat
740,40804202,inat
741,40685417,inat
742,40641635,inat
743,40628641,inat
744,40628622,inat
745,40515579,inat
746,40311532,inat
747,40229559,inat
748,40221774,inat
749,40183489,inat
750,39811832,inat
751,39539345,inat
752,39350072,inat
753,39342985,inat
754,39254069,inat
755,39147723,inat
756,39086425,inat
757,38985748,inat
758,38825541,inat
759,38712782,inat
760,38512588,inat
761,38503275,inat
762,38503197,inat
763,38293693,inat
764,38176985,inat
765,38125073,inat
766,37812630,inat
767,37694058,inat
768,37591187,inat
769,37521293,inat
770,37521289,inat
771,37452082,inat
772,36701652,inat
773,36669863,inat
774,36667434,inat
775,36584651,inat
776,36527088,inat
777,36469383,inat
778,36404008,inat
779,36187777,inat
780,36126963,inat
781,36016704,inat
782,35970718,inat
783,35844350,inat
784,35743840,inat
785,35679252,inat
786,35603925,inat
787,35231543,inat
788,35198399,inat
789,35045346,inat
790,34830185,inat
791,34710380,inat
792,34624930,inat
793,34621376,inat
794,34576450,inat
795,34532878,inat
796,34529455,inat
797,34196566,inat
798,33905911,inat
799,33892979,inat
800,33879948,inat
801,33840481,inat
802,33798568,inat
803,33697934,inat
804,33595343,inat
805,33475874,inat
806,33386518,inat
807,33384305,inat
808,33382861,inat
809,33154360,inat
810,33143829,inat
811,32712948,inat
812,32710010,inat
813,32578327,inat
814,32519727,inat
815,32271146,inat
816,32261439,inat
817,31901864,inat
818,31680420,inat
819,31568553,inat
820,31540357,inat
821,31539634,inat
822,31405262,inat
823,31307619,inat
824,31173978,inat
825,31079570,inat
826,31064800,inat
827,31041759,inat
828,30949772,inat
829,30860995,inat
830,30803900,inat
831,30670056,inat
832,30606794,inat
833,30606599,inat
834,30569592,inat
835,30528500,inat
836,30479098,inat
837,30467087,inat
838,30463668,inat
839,30387889,inat
840,30327081,inat
841,30326937,inat
842,30310440,inat
843,30266384,inat
844,30256242,inat
845,30099298,inat
846,29992788,inat
847,29940349,inat
848,29847072,inat
849,29635880,inat
850,29238279,inat
851,29217980,inat
852,29096745,inat
853,29052539,inat
854,29009311,inat
855,28860810,inat
856,28853171,inat
857,28795779,inat
858,28723454,inat
859,28516863,inat
860,28293266,inat
861,28165123,inat
862,28106152,inat
863,28055183,inat
864,28046433,inat
865,27946755,inat
866,27918319,inat
867,27700680,inat
868,27699915,inat
869,27621035,inat
870,27618949,inat
871,27616346,inat
872,27567415,inat
873,27488374,inat
874,27318361,inat
875,27253661,inat
876,27212757,inat
877,27167969,inat
878,27148218,inat
879,27026024,inat
880,26904544,inat
881,26734141,inat
882,26688154,inat
883,26662457,inat
884,26625246,inat
885,26535112,inat
886,26455943,inat
887,26453691,inat
888,26449384,inat
889,26444353,inat
890,26331772,inat
891,26316263,inat
892,26307200,inat
893,26238716,inat
894,26159737,inat
895,26140023,inat
896,26079085,inat
897,26067681,inat
898,26066129,inat
899,25923584,inat
900,25893487,inat
901,25793990,inat
902,25760293,inat
903,25743434,inat
904,25721774,inat
905,25663329,inat
906,25610572,inat
907,25610111,inat
908,25609046,inat
909,25607608,inat
910,25547600,inat
911,25423982,inat
912,25306482,inat
913,25283896,inat
