"","X","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"44",44,"LQH_2.5","LQH",2.5,0.7784,0.744623431155408,0.00525194881950693,0.0389438938400874,0.00422643692133454,0.013953488372093,0.000973499188750676,0.126467331118494,0.00203664663990709,6635.76193397761,237.3280477853,5.79483386150821e-47,82
"45",45,"LQHT_2.5","LQHT",2.5,0.7979,0.76102169250646,0.00282968097360351,0.0386589654128481,0.00364479594786242,0.0186046511627907,0.00173066522444565,0.135991140642303,0.000612821295815965,6536.44638315691,138.0124969646,2.13372690538797e-25,68
"46",46,"LQTP_2.5","LQTP",2.5,0.8105,0.756202065337763,0.00272460492003814,0.0541356955841496,0.00415432121927111,0.00930232558139535,0.000432666306111412,0.159468438538206,0.0011443643619337,6435.59065310967,37.1567669173601,0.00169700197374516,41
"47",47,"LQHP_2.5","LQHP",2.5,0.7846,0.744927722406792,0.00528887903959581,0.0442479009653637,0.00463363786555695,0.013953488372093,0.000973499188750676,0.121705426356589,0.00222532495962149,6631.61394298758,233.180056795271,4.61068856465235e-46,83
"48",48,"LQHPT_2.5","LQHPT",2.5,0.8054,0.761263357327427,0.00264716500235309,0.0446235066789942,0.00394904566801298,0.013953488372093,0.000973499188750676,0.140642303433001,0.0010326106285312,6541.89329972559,143.45941353328,1.40073483384393e-26,72
"49",49,"LQ_2","LQ",2,0.7222,0.704931024363234,0.00651590531665056,0.0308405971571275,0.00670607853545778,0.00952380952380952,0.000170068027210884,0.136987818383167,0.00789965526502651,6496.69504511044,98.2611589181306,4.60087949445521e-22,13
"50",50,"LQP_2","LQP",2,0.7488,0.722727619047619,0.00753198076515513,0.041702846985986,0.00712899872584332,0.00952380952380952,0.000170068027210884,0.14640088593577,0.0101885372861963,6485.12240702806,86.6885208357498,1.49901952123511e-19,23
"51",51,"LQT_2","LQT",2,0.8154,0.754130507567368,0.00514706956013654,0.0640352339200334,0.00646828007717357,0.018936877076412,0.000962461782982528,0.160022148394241,0.00192664049575121,6398.43388619231,0,0.999954893880114,37
"52",52,"LQH_2","LQH",2,0.7824,0.748026971207087,0.00443680863813423,0.0376550613686519,0.00549458922917526,0.0235880398671096,0.000283538690399542,0.131893687707641,0.00254357015926976,6606.72518917862,208.29130298631,5.88977429816074e-46,79
"53",53,"LQHT_2","LQHT",2,0.8038,0.757805509413068,0.00460239834006874,0.0524709558338772,0.00564162790533515,0.018936877076412,0.000962461782982528,0.160243632336656,0.003965433297891,6616.41368550143,217.979799309121,4.63733432401371e-48,88
"54",54,"LQTP_2","LQTP",2,0.8233,0.757146317829457,0.00497597209689262,0.0690827218448919,0.0068750569376864,0.0236987818383167,0.000850401454975356,0.202436323366556,0.00321749575979662,6418.44678122752,20.01289503521,4.51061198859395e-05,48
"55",55,"LQHP_2","LQHP",2,0.7917,0.75054045957918,0.00434425655121218,0.0429031500346092,0.005643867714469,0.0235880398671096,0.000283538690399542,0.136655592469546,0.0036378063033398,6660.14559729063,261.71171109832,1.47912344342808e-57,91
"56",56,"LQHPT_2","LQHPT",2,0.8142,0.761290895164267,0.00469954818770643,0.0558169287091417,0.00658249815517649,0.0236987818383167,0.000850401454975356,0.169324473975637,0.00161244234488459,6587.29848954452,188.86460335221,9.73986368818936e-42,86
"57",57,"LQ_1.5","LQ",1.5,0.7327,0.709466275378368,0.00337084104058557,0.0321855998325346,0.00176785610152902,0.00952380952380952,0.000453514739229025,0.112624584717608,0.000933212657696935,6481.39096342459,82.9570772322804,8.72695687246546e-18,13
"58",58,"LQP_1.5","LQP",1.5,0.7594,0.733317563676633,0.00381506437153085,0.0349112347737408,0.00199330413488705,0.00952380952380952,0.000453514739229025,0.121816168327796,0.00168335767694494,6466.25700300592,67.8231168136099,1.68717673956063e-14,23
"59",59,"LQT_1.5","LQT",1.5,0.8286,0.75845334809893,0.00783894997239454,0.0732564516946721,0.0117239872413367,0.0188261351052049,0.000664697102926261,0.206533776301218,0.013325827897411,6403.59762210452,5.16373591221054,0.681510045591949,51
"60",60,"LQH_1.5","LQH",1.5,0.7877,0.754045086747877,0.00626436660936231,0.042120631205998,0.00597631313268169,0.0141749723145072,0.00016749263253165,0.13156146179402,0.00187108555338487,6672.0660739122,273.632187719891,3.43786381769996e-59,93
"61",61,"LQHT_1.5","LQHT",1.5,0.8212,0.765473089700997,0.00770100224762026,0.0603701034125061,0.0106399092257737,0.0235880398671096,0.000553955131719174,0.17375415282392,0.00817877899311879,6564.81494682351,166.3810606312,6.69229390318491e-36,86
"62",62,"LQTP_1.5","LQTP",1.5,0.8364,0.760952344038391,0.00666321972013609,0.0783545776449026,0.00964969374485926,0.0188261351052049,0.000664697102926261,0.197231450719823,0.00899278766851972,6405.11906221901,6.68517602669999,0.318489954408034,56
"63",63,"LQHP_1.5","LQHP",1.5,0.7999,0.761302820228867,0.0054248603139809,0.0426686229702543,0.00560039125299875,0.0141749723145072,0.00016749263253165,0.155038759689922,0.00349993070961934,6706.1771804404,307.74329424809,1.34634388083332e-66,101
"64",64,"LQHPT_1.5","LQHPT",1.5,0.8272,0.770923318567737,0.00631742813149425,0.0627035563319303,0.00919943923839719,0.0235880398671096,0.000553955131719174,0.178405315614618,0.00518488267850858,6534.21244559478,135.77855940247,2.95681200963244e-29,83
"65",65,"LQ_1","LQ",1,0.7389,0.713773877814692,0.00151234165602233,0.0299213664446875,0.00161667813384231,0.00465116279069767,0.000108166576527853,0.14562569213732,0.00203333541817665,6469.04423245925,70.6103462669407,2.93247714017688e-09,13
"66",66,"LQP_1","LQP",1,0.7663,0.731376406423034,0.00331905379393267,0.037571836324357,0.00502461840881191,0.018936877076412,0.000962461782982528,0.131672203765227,0.00635024877086223,6452.24250502086,53.8086188285506,1.30521901385181e-05,24
"67",67,"LQT_1","LQT",1,0.8466,0.764143907345884,0.0065440115103554,0.0904641710854885,0.00888463926827761,0.0236987818383167,0.000850401454975356,0.19734219269103,0.0046831712674253,6429.7754241948,31.3415380024899,0.98707011996336,73
"68",68,"LQH_1","LQH",1,0.7945,0.755906889996309,0.00563348312229917,0.0452649586475689,0.0062295720977486,0.0236987818383167,0.00170074159102978,0.145736434108527,0.000725617450874346,7115.77433459031,717.340448398,1.07541803936395e-149,138
"69",69,"LQHT_1","LQHT",1,0.8452,0.767206546696198,0.00650958750130406,0.0854639365052699,0.00897226523673091,0.0283499446290144,0.00095341724214474,0.183167220376523,0.0037673425238132,6659.09666042245,260.662774230141,1.57715459987379e-50,109
"70",70,"LQTP_1","LQTP",1,0.8541,0.76896549833887,0.00662206906880455,0.0932683989206182,0.00902942025191439,0.018936877076412,0.000962461782982528,0.244518272425249,0.00712121156376738,6438.44784491875,40.0139587264403,0.0129168249140241,79
"71",71,"LQHP_1","LQHP",1,0.8072,0.762202240679217,0.00676118422099427,0.0484350780088997,0.00949787721498288,0.0141749723145072,0.00045093934454979,0.155038759689922,0.000486259043007865,6872.1468545083,473.71296831599,8.60225746833012e-97,122
"72",72,"LQHPT_1","LQHPT",1,0.8519,0.770624320782577,0.00637995291427187,0.0888106017033769,0.00887910317968848,0.0236987818383167,0.000850401454975356,0.235105204872647,0.00942189747721695,6599.67401058996,201.24012439765,1.26281208120969e-37,104
"73",73,"LQ_0.5","LQ",0.5,0.7434,0.733159521963824,0.00459892079021644,0.0269833831276016,0.00261798439432313,0.00952380952380952,0.000453514739229025,0.118161683277962,0.00715340399725782,6457.90403194848,59.4701457561705,0.0157408965069484,13
"74",74,"LQP_0.5","LQP",0.5,0.7693,0.7476961554079,0.00215789451430163,0.0303658195629673,0.00201391101935585,0.00952380952380952,0.000170068027210884,0.131893687707641,0.00251750961787275,6449.6327779878,51.1988917954905,0.984259103493051,27
"75",75,"LQT_0.5","LQT",0.5,0.8895,0.760982914359542,0.00601850252330979,0.139074978313316,0.00739693776264046,0.0616832779623477,0.00613060439607608,0.29202657807309,0.00920022957803998,7351.2870559659,952.853169773591,1.5899032061556e-196,160
"76",76,"LQH_0.5","LQH",0.5,0.8092,0.766328829826504,0.00544792643396586,0.0459452584661227,0.00813179067596663,0.0142857142857143,0.00102040816326531,0.155703211517165,0.00688096403154736,7704.28667475362,1305.85278856131,3.53571628151374e-273,163
"77",77,"LQHT_0.5","LQHT",0.5,0.8914,0.761349374307863,0.00634493790692474,0.140533874172816,0.00758124064573421,0.0616832779623477,0.00613060439607608,0.287375415282392,0.0105407225085816,7379.78815627328,981.35427008097,1.02904742273354e-202,161
